seed,score,class_imbalance,split_dev,n_train,n_eval,eval_pct,n_eval_sources,eval_left,eval_centre,eval_right,train_left,train_centre,train_right
9073,0.15899722299507324,0.06466095148660672,0.0014547823254803804,36777,9278,20.14547823254804,111,0.29844794136667385,0.26363440396637206,0.4379176546669541,0.33893466024961255,0.26350708323136746,0.39755825651902005
2943,0.15906174777554502,0.06205434665776538,0.007968733036586712,37211,8844,19.20312669634133,111,0.2997512437810945,0.2816598824061511,0.4185888738127544,0.33815269678320925,0.25922442288570585,0.4026228803310849
7987,0.15922246622139138,0.015837934687420285,0.11953099554880035,42349,3706,8.046900445119967,111,0.3294657312466271,0.27145169994603346,0.39908256880733944,0.3308932914590663,0.2628397364754776,0.4062669720654561
3685,0.1595680649668445,0.02806666664637672,0.09156443382911737,41061,4994,10.843556617088264,111,0.33440128153784543,0.24949939927913498,0.4160993191830196,0.33033779011714276,0.2652395216872458,0.4044226881956114
865,0.1596799131327589,0.05453506194479485,0.02848767777657149,35532,10523,22.84876777765715,111,0.31217333460039914,0.25487028413950397,0.43295638126009695,0.33628841607565013,0.26609816503433525,0.3976134188900146
8181,0.16011171454813505,0.0471665755041315,0.04789925089566821,34638,11417,24.78992508956682,111,0.31978628361215733,0.25094157834807745,0.42927213803976527,0.33440152433743286,0.2676828916219181,0.397915584040649
3727,0.16021050809597753,0.05831447608842871,0.021539463684724786,37836,8219,17.84605363152752,111,0.32400535344932474,0.2411485582187614,0.43484608833191385,0.3322497092715932,0.268395179194418,0.3993551115339888
2587,0.16026312340608756,0.01707476987148221,0.1207252198458365,42404,3651,7.927478015416351,111,0.33168994795946316,0.27115858668857845,0.3971514653519584,0.33069993396849356,0.26287614376002266,0.40642392227148383
7115,0.1604579435431477,0.06406468922198,0.008728693952882421,37246,8809,19.12713060471176,111,0.3628107617209672,0.2320354183221705,0.4051538199568623,0.323202491542716,0.2709821188852494,0.40581538957203456
5376,0.1609026780930963,0.06375644363510496,0.011247421561176835,36326,9729,21.124742156117684,111,0.29890019529242473,0.28862164662349676,0.4124781580840785,0.33931619225898807,0.2568133017673292,0.40387050597368274
457,0.1615229785465897,0.0678753571582707,0.003843230919552687,36667,9388,20.38432309195527,111,0.3550276949296975,0.27322113336173837,0.37175117170856414,0.3245697766383942,0.2610521722529795,0.4143780511086263
207,0.16167223392924612,0.0637362465531334,0.014374117902507866,36182,9873,21.43741179025079,111,0.32512914007900334,0.23731388635673048,0.4375569735642662,0.3323199380907634,0.27068708197446245,0.39699297993477417
